Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
279.9645240306854	38	-83.67164486837902	-2.0610859345706563	17.16019500104553	-45.65323546287132	-184.80933165140368	20.0	0.0	252	393121	-78.53124393412735	-1.9467976832828018
286.9955599308014	39	-81.14429676256468	-2.0103089172626154	16.869034748573913	-52.345341480237785	-163.00709878836216	20.0	0.0	252	403201	-77.56905322781729	-1.8781243239632428
294.0141670703888	40	-76.40409087740021	-1.7714334367548936	14.20427206901777	-45.90526031655838	-143.5704516290941	20.0	0.0	252	413281	-74.65982263336339	-1.7431068808935433
300.94407391548157	41	-75.07634486210937	-1.780496477329703	14.247817203239313	-48.000693736863695	-189.90437035944421	20.0	0.0	252	423361	-78.15290625544195	-1.6135584999961032
307.86101603507996	42	-72.94725871823942	-1.7595548959860559	13.757265788284789	-46.414469572486425	-159.09014233009424	20.0	0.0	252	433441	-72.82853213222499	-1.8587552480137568
314.79817485809326	43	-70.82472491721919	-1.6256490013131826	13.191542363284308	-43.113858062285495	-147.02959757824138	20.0	0.0	252	443521	-70.85049560658696	-1.7322102104006605
321.67759585380554	44	-69.55273955695156	-1.6295108758042105	15.798818025023875	-43.89690904121012	-235.8491868705111	19.9875	0.2735758578529912	252	453601	-65.62302942009457	-1.3887927425710327
328.59450697898865	45	-66.59712153663085	-1.4702661183701784	11.502869823584644	-43.10101247823163	-121.45203741188215	20.0	0.0	252	463681	-65.41298168308039	-1.5319488037345843
335.5648949146271	46	-64.83503139254938	-1.3671665522943437	12.691346242556516	-42.20458207237029	-127.0452214926735	19.9875	0.2735758578529912	252	473761	-62.56104198497593	-1.4681435243301963
342.50269412994385	47	-62.11881926377922	-1.3768561919166302	10.696395207356185	-42.11066039197699	-135.46254616580165	19.95625	0.6771282036414279	252	483841	-58.53089675282835	-1.427745018177843
349.4012658596039	48	-60.5150913531019	-1.2905577739384921	11.567404507745458	-39.39745327768505	-136.42677204944474	20.0	0.0	252	493921	-60.65872054928561	-1.2752440710315713
356.81680512428284	49	-60.30862506308081	-1.1734266506692952	11.285687959840214	-39.22189621024871	-108.63724640969794	20.0	0.0	252	504001	-58.44757866773923	-1.1290673880212585
363.77164006233215	50	-59.466688279631704	-1.1854297226703332	11.096125629635086	-38.24855522353836	-111.6590780579612	19.983333333333334	0.36476781047065476	252	514081	-56.446423271779146	-1.116307277171457
370.7154788970947	51	-58.06142807322848	-1.1510818505907698	11.668233390159191	-31.33773697891247	-144.17974089531504	19.972916666666666	0.592747692014814	252	524161	-54.61380437773844	-1.0349108426078397
377.6688690185547	52	-55.744144743996905	-1.1419354733177072	9.695607796096244	-34.36961548147581	-107.7702364997039	20.0	0.0	252	534241	-54.02398975764263	-1.0218644348431345
384.60105895996094	53	-53.375310695417674	-1.0706741306921128	8.303468511561006	-37.87210047240157	-87.06369547854551	20.0	0.0	252	544321	-53.54886313262989	-0.9913975893712385
391.60982394218445	54	-53.28071757675291	-1.0365962917942175	9.568120579370268	-32.36631840939131	-102.13899575199268	19.991666666666667	0.18238390523532738	252	554401	-52.87971786561841	-1.0493403917120598
